rank,city,state,niche,payout_type,payout,avg_payout,zips,population,density,county,score
"322","Arlington","TX","Garage Door","CPL","81.5","81.5","19","397742","1590","Tarrant","43.51"
"323","Eden","NC","Garage Door","CPL","85.5","85.5","2","15356","417","Rockingham","43.46"
"324","Flowery Branch","GA","Garage Door","CPL","74","74","2","10925","545","Hall","43.1"
"325","Mitchell","IN","Garage Door","CPL","74","74","1","3937","423","Lawrence","42.77"
"326","White Bluff","TN","Garage Door","CPL","75","75","1","4080","239","Dickson","42.74"
"327","Independence","MO","Garage Door","CPL","78","78","9","121740","604","Jackson","42.7"
"328","Lebanon","TN","Garage Door","CPL","74","74","5","44788","398","Wilson","42.48"
"329","Edwardsville","KS","Garage Door","CPL","78.5","78.5","1","4724","202","Wyandotte","42.18"
"330","Nashville","TN","Garage Door","CPL","77.5","77.5","41","1201962","556","Davidson","42.17"
"331","Shawnee","KS","Garage Door","CPL","77.5","77.5","6","68542","627","Johnson","41.86"
"332","Gadsden","AL","Garage Door","CPL","74","74","4","33374","347","Etowah","41.79"
"333","Southampton","PA","Garage Door","CPL","86","86","1","6084","740","Bucks","41.77"
"334","Osawatomie","KS","Garage Door","CPL","74","74","1","4182","318","Miami","41.75"
"335","Stokesdale","NC","Garage Door","CPL","85.5","85.5","1","6004","121","Guilford","41.74"
"336","Pilot Point","TX","Garage Door","CPL","81.5","81.5","1","5332","236","Denton","41.73"
"337","Argyle","TX","Garage Door","CPL","81.5","81.5","1","5371","166","Denton","41.6"
"338","Mocksville","NC","Garage Door","CPL","85.5","85.5","1","6068","293","Davie","41.57"
"339","Platte City","MO","Garage Door","CPL","78","78","1","4824","467","Platte","41.57"
"340","Grayson","GA","Garage Door","CPL","78","78","1","4858","743","Gwinnett","41.45"
"341","Adamsville","AL","Garage Door","CPL","74","74","1","4266","63","Jefferson","41.42"
"342","Indian Wells","CA","Garage Door","CPL","78","78","1","4871","130","Riverside","41.4"
"343","Justin","TX","Garage Door","CPL","81.5","81.5","1","5447","431","Denton","41.37"
"344","Lindale","GA","Garage Door","CPL","74","74","1","4289","325","Floyd","41.33"
"345","Silver Creek","GA","Garage Door","CPL","74","74","1","4289","325","Floyd","41.33"
"346","Sylacauga","AL","Garage Door","CPL","74","74","2","12309","236","Talladega","41.09"
"347","Edinburgh","IN","Garage Door","CPL","74","74","1","4381","489","Johnson","40.98"
"348","Dawsonville","GA","Garage Door","CPL","74","74","1","4403","167","Dawson","40.9"
"349","Middleburg","VA","Garage Door","CPL","38.5","38.5","2","774","295","Loudoun","40.45"
"350","Hoschton","GA","Garage Door","CPL","74","74","1","4534","243","Jackson","40.42"
"351","Blanchester","OH","Garage Door","CPL","74","74","1","4538","442","Clinton","40.41"
"352","Indianapolis","IN","Garage Door","CPL","74","74","53","1767321","943","Marion","40.26"
"353","Josephine","TX","Garage Door","CPL","81.5","81.5","1","5842","867","Collin","40.23"
"354","Jasper","GA","Garage Door","CPL","74","74","1","4630","197","Pickens","40.09"
"355","Randleman","NC","Garage Door","CPL","74","74","1","4644","432","Randolph","40.04"
"356","Lenexa","KS","Garage Door","CPL","77.5","77.5","5","58384","657","Johnson","40.01"
"357","Childersburg","AL","Garage Door","CPL","74","74","1","4655","147","Talladega","40"
"358","Peculiar","MO","Garage Door","CPL","81.5","81.5","1","5958","248","Cass","39.91"
"359","Douglasville","GA","Garage Door","CPL","74","74","4","37536","611","Douglas","39.87"
"360","Columbiana","AL","Garage Door","CPL","74","74","1","4725","99","Shelby","39.76"
"361","Dallas","TX","Garage Door","CPL","81.5","74.15","99","5968322","1477","Dallas","39.65"
"362","Crandall","TX","Garage Door","CPL","74","74","1","4763","236","Kaufman","39.64"
"363","Lilburn","GA","Garage Door","CPL","78","78","2","15390","855","Gwinnett","39.61"
"364","Palmetto","GA","Garage Door","CPL","74","74","1","4797","153","Fulton","39.52"
"365","Upper Marlboro","MD","Garage Door","CPL","37.5","37.5","2","683","197","Prince George's","39.4"
"366","Lexington","NC","Garage Door","CPL","85.5","85.5","2","19690","396","Davidson","39.34"
"367","Krum","TX","Garage Door","CPL","81.5","81.5","1","6189","759","Denton","39.31"
"368","Bessemer","AL","Garage Door","CPL","74","74","3","25400","244","Jefferson","39.23"
"369","Baldwin City","KS","Garage Door","CPL","74","74","1","4911","637","Douglas","39.15"
"370","Fortville","IN","Garage Door","CPL","74","74","1","4976","544","Hancock","38.95"
"371","North Kansas City","MO","Garage Door","CPL","74","74","1","4983","420","Clay","38.93"
"372","Mount Orab","OH","Garage Door","CPL","74","74","1","4987","190","Brown","38.91"
"373","Adairsville","GA","Garage Door","CPL","74","74","1","4999","205","Bartow","38.88"
"374","Louisburg","KS","Garage Door","CPL","74","74","1","5094","398","Miami","38.58"
"375","Pleasant View","TN","Garage Door","CPL","75","75","1","5276","157","Cheatham","38.56"
"376","Lavon","TX","Garage Door","CPL","81.5","81.5","1","6498","507","Collin","38.55"
"377","Tallassee","AL","Garage Door","CPL","74","74","1","5134","172","Elmore","38.46"
"378","King","NC","Garage Door","CPL","85.5","85.5","1","7408","459","Stokes","38.38"
"379","Whiteland","IN","Garage Door","CPL","74","74","1","5173","308","Johnson","38.35"
"380","Lawrenceburg","IN","Garage Door","CPL","74","74","1","5179","377","Dearborn","38.33"
"381","Cincinnati","OH","Garage Door","CPL","74","74","48","1726642","1534","Hamilton","38.29"
"382","Dallas","GA","Garage Door","CPL","74","74","2","14714","677","Paulding","38.26"
"383","Rockmart","GA","Garage Door","CPL","74","74","1","5204","368","Polk","38.26"
"384","Hiram","GA","Garage Door","CPL","74","74","1","5231","498","Paulding","38.18"
"385","Souderton","PA","Garage Door","CPL","84","84","1","7181","2484","Montgomery","38.18"
"386","Ashland City","TN","Garage Door","CPL","75","75","1","5424","193","Cheatham","38.14"
"387","Linton","IN","Garage Door","CPL","74","74","1","5260","608","Greene","38.09"
"388","Greenwood","MO","Garage Door","CPL","78","78","1","6013","444","Jackson","38.06"
"389","Oak Ridge","NC","Garage Door","CPL","85.5","85.5","1","7744","177","Guilford","37.7"
"390","Duluth","GA","Garage Door","CPL","78","75.33","3","32426","1215","Gwinnett","37.5"
"391","Smiths Station","AL","Garage Door","CPL","74","74","1","5496","257","Lee","37.43"
"392","Cicero","IN","Garage Door","CPL","74","74","1","5509","1290","Hamilton","37.39"
"393","Newnan","GA","Garage Door","CPL","74","74","4","44235","845","Coweta","37.34"
"394","Monroe","GA","Garage Door","CPL","74","74","2","15648","378","Walton","37.33"
"395","Goodlettsville","TN","Garage Door","CPL","77.5","77.5","2","17597","472","Sumner","37.3"
"396","Norcross","GA","Garage Door","CPL","78","78","2","18007","1111","Gwinnett","37.2"
"397","Bellevue","KY","Garage Door","CPL","74","74","1","5636","2387","Campbell","37.05"
"398","Tonganoxie","KS","Garage Door","CPL","75","75","1","5891","541","Leavenworth","36.9"
"399","Temple","GA","Garage Door","CPL","75","75","1","5901","321","Carroll","36.87"
"400","De Soto","KS","Garage Door","CPL","77.5","77.5","1","6414","158","Johnson","36.85"
"401","Walton","KY","Garage Door","CPL","74","74","1","5730","448","Boone","36.81"
"402","Dayton","KY","Garage Door","CPL","74","74","1","5743","1695","Campbell","36.78"
"403","Paola","KS","Garage Door","CPL","74","74","1","5770","420","Miami","36.71"
"404","Attalla","AL","Garage Door","CPL","74","74","1","5775","322","Etowah","36.7"
"405","Leawood","KS","Garage Door","CPL","77.5","77.5","3","33809","865","Johnson","36.64"
"406","Aubrey","TX","Garage Door","CPL","81.5","81.5","1","7396","692","Denton","36.61"
"407","Bloomington","IN","Garage Door","CPL","74","74","7","107655","1309","Monroe","36.6"
"408","Conley","GA","Garage Door","CPL","74","74","1","5822","1080","Clayton","36.58"
"409","Oakwood","GA","Garage Door","CPL","74","74","1","5862","354","Hall","36.48"
"410","Walkertown","NC","Garage Door","CPL","74","74","1","5873","334","Forsyth","36.45"
"411","Alpharetta","GA","Garage Door","CPL","74","74","5","66855","952","Fulton","36.19"
"412","Northport","AL","Garage Door","CPL","74","74","3","31218","664","Tuscaloosa","36.12"
"413","Fairless Hills","PA","Garage Door","CPL","86","86","1","8827","1785","Bucks","35.99"
"414","Addison","TX","Garage Door","CPL","74","74","2","17290","1519","Dallas","35.87"
"415","Eudora","KS","Garage Door","CPL","74","74","1","6119","716","Douglas","35.86"
"416","Lake Dallas","TX","Garage Door","CPL","81.5","81.5","1","7822","1234","Denton","35.8"
"417","Irving","TX","Garage Door","CPL","74","74","12","256492","1470","Dallas","35.74"
"418","Lees Summit","MO","Garage Door","CPL","78","78","6","103656","620","Jackson","35.71"
"419","Perkasie","PA","Garage Door","CPL","86","86","1","9216","1397","Bucks","35.37"
"420","Richardson","TX","Garage Door","CPL","81.5","75.25","6","118731","1599","Dallas","35.34"
"421","Morrow","GA","Garage Door","CPL","74","74","1","6364","721","Clayton","35.3"
"422","Wilmer","TX","Garage Door","CPL","74","74","1","6391","187","Dallas","35.24"
"423","Quakertown","PA","Garage Door","CPL","86","86","1","9319","1764","Bucks","35.22"
"424","Hebron","KY","Garage Door","CPL","74","74","1","6407","399","Boone","35.2"
"425","Calhoun","GA","Garage Door","CPL","74","74","2","18183","407","Gordon","35.15"
"426","Milford","OH","Garage Door","CPL","74","74","1","6497","679","Clermont","35.01"
"427","Avon","IN","Garage Door","CPL","81.5","77.75","2","23437","453","Hendricks","34.98"
"428","Dacula","GA","Garage Door","CPL","78","78","1","7444","528","Gwinnett","34.94"
"429","Gibsonville","NC","Garage Door","CPL","85.5","85.5","1","9467","816","Guilford","34.79"
"430","High Point","NC","Garage Door","CPL","85.5","85.5","7","175377","775","Guilford","34.79"
"431","North Wales","PA","Garage Door","CPL","37.5","37.5","2","3440","2250","Montgomery","34.68"
"432","Richland Hills","TX","Garage Door","CPL","81.5","81.5","1","8493","1044","Tarrant","34.64"
"433","Ellettsville","IN","Garage Door","CPL","74","74","1","6698","492","Monroe","34.58"
"434","Morrisville","PA","Garage Door","CPL","86","86","1","9752","2153","Bucks","34.58"
"435","Snellville","GA","Garage Door","CPL","78","78","2","21620","780","Gwinnett","34.58"
"436","South Lebanon","OH","Garage Door","CPL","74","74","1","6712","735","Warren","34.55"
"437","Thomasville","NC","Garage Door","CPL","85.5","85.5","2","27321","624","Davidson","34.51"
"438","Falls Church","VA","Garage Door","CPL","38.5","38.5","5","14710","2753","Falls Church","34.5"
"439","Bonner Springs","KS","Garage Door","CPL","78.5","78.5","1","7839","191","Wyandotte","34.45"
"440","Forest Park","GA","Garage Door","CPL","74","74","2","19504","822","Clayton","34.18"
"441","Winston-Salem","NC","Garage Door","CPL","74","74","16","443598","725","Forsyth","34.11"
"442","Pleasant Hill","MO","Garage Door","CPL","81.5","81.5","1","8847","426","Cass","34.08"
"443","Acworth","GA","Garage Door","CPL","78","76","2","22473","944","Cobb","34.04"
"444","Fayetteville","GA","Garage Door","CPL","74","74","2","19719","577","Fayette","34.03"
"445","Greenbrier","TN","Garage Door","CPL","74","74","1","6971","370","Robertson","34.03"
"446","Trinity","NC","Garage Door","CPL","74","74","1","7111","162","Randolph","33.76"
"447","Berwyn","PA","Garage Door","CPL","37.5","37","2","3680","802","Chester","33.75"
"448","Collinsville","VA","Garage Door","CPL","74","74","1","7139","376","Henry","33.71"
"449","Terrell","TX","Garage Door","CPL","74","74","2","20366","221","Kaufman","33.6"
"450","Basehor","KS","Garage Door","CPL","75","75","1","7491","391","Leavenworth","33.52"
"451","Parkville","MO","Garage Door","CPL","78","78","1","8366","207","Platte","33.35"
"452","Liberty Hill","TX","Garage Door","CPL","78","78","1","8371","559","Williamson","33.34"
"453","Rome","GA","Garage Door","CPL","74","74","3","38189","458","Floyd","33.32"
"454","Clarkdale","GA","Garage Door","CPL","78","78","1","8447","506","Cobb","33.22"
"455","Dripping Springs","TX","Garage Door","CPL","74","74","1","7405","277","Hays","33.22"
"456","Mount Airy","NC","Garage Door","CPL","85.5","85.5","1","10633","350","Surry","33.21"
"457","Phenix City","AL","Garage Door","CPL","74","74","3","38499","529","Russell","33.21"
"458","Kennedale","TX","Garage Door","CPL","81.5","81.5","1","9439","523","Tarrant","33.2"
"459","Bedford","TX","Garage Door","CPL","81.5","81.5","3","49085","1894","Tarrant","33.19"
"460","Vestavia Hills","AL","Garage Door","CPL","74","74","3","38616","746","Jefferson","33.17"
"461","Oak Grove","MO","Garage Door","CPL","78","78","1","8538","511","Jackson","33.08"
"462","Hutchins","TX","Garage Door","CPL","74","74","1","7496","242","Dallas","33.06"
"463","Tuscaloosa","AL","Garage Door","CPL","74","74","8","170416","665","Tuscaloosa","33"
"464","Montevallo","AL","Garage Door","CPL","74","74","1","7556","223","Shelby","32.95"
"465","Sanger","TX","Garage Door","CPL","81.5","81.5","1","9641","305","Denton","32.92"
"466","Prattville","AL","Garage Door","CPL","74","74","3","39482","420","Autauga","32.88"
"467","Duncanville","TX","Garage Door","CPL","74","74","3","39683","1375","Dallas","32.81"
"468","Union","KY","Garage Door","CPL","74","74","1","7642","752","Boone","32.81"
"469","Summerfield","NC","Garage Door","CPL","85.5","85.5","1","11116","161","Guilford","32.63"
"470","Mountain Brook","AL","Garage Door","CPL","74","74","2","22029","666","Jefferson","32.56"
"471","Franklin","TN","Garage Door","CPL","74","74","5","87133","742","Williamson","32.55"
"472","Columbus","IN","Garage Door","CPL","81.5","81.5","3","51824","688","Bartholomew","32.48"
"473","Harrisonville","MO","Garage Door","CPL","81.5","81.5","1","9970","345","Cass","32.48"
"474","Pinson","AL","Garage Door","CPL","74","74","1","7832","254","Jefferson","32.48"
"475","Tyrone","GA","Garage Door","CPL","74","74","1","7896","241","Fayette","32.38"
"476","Fair Oaks","GA","Garage Door","CPL","78","78","1","9014","2056","Cobb","32.37"
"477","Covington","KY","Garage Door","CPL","74","74","3","41110","1200","Kenton","32.35"
"478","Roanoke","TX","Garage Door","CPL","81.5","81.5","1","10286","558","Denton","32.08"
"479","Spring Hill","KS","Garage Door","CPL","77.5","77.5","1","9120","337","Johnson","32.01"
"480","Sunnyvale","TX","Garage Door","CPL","74","74","1","8336","188","Dallas","31.68"
"481","Plano","TX","Garage Door","CPL","81.5","81.5","9","290594","1547","Collin","31.51"
"482","Cartersville","GA","Garage Door","CPL","74","74","2","24074","318","Bartow","31.42"
"483","Kaufman","TX","Garage Door","CPL","74","74","1","8538","317","Kaufman","31.38"
"484","Elon","NC","Garage Door","CPL","81.5","81.5","1","11032","1023","Alamance","31.2"
"485","Hampton","GA","Garage Door","CPL","74","74","1","8687","299","Henry","31.17"
"486","Auburn","GA","Garage Door","CPL","74","74","1","8711","469","Barrow","31.13"
"487","Ft Mitchell","KY","Garage Door","CPL","74","74","1","8713","1082","Kenton","31.13"
"488","Lawrence","KS","Garage Door","CPL","74","74","5","97387","1065","Douglas","31.13"
"489","Solana Beach","CA","Garage Door","CPL","86","86","1","12823","1452","San Diego","31"
"490","Tuskegee","AL","Garage Door","CPL","74","74","1","8938","205","Macon","30.81"
"491","Tuskegee Institute","AL","Garage Door","CPL","74","74","1","8938","205","Macon","30.81"
"492","Littleton","CO","Garage Door","CPL","35","32.6","10","44710","1380","Arapahoe","30.47"
"493","Danville","IN","Garage Door","CPL","81.5","81.5","1","11714","424","Hendricks","30.46"
"494","Georgetown","TX","Garage Door","CPL","78","78","4","85999","523","Williamson","30.17"
"495","Pleasant Grove","AL","Garage Door","CPL","74","74","1","9442","374","Jefferson","30.14"
"496","West Chester","OH","Garage Door","CPL","74","74","1","9496","760","Butler","30.08"
"497","Smyrna","GA","Garage Door","CPL","78","78","3","56633","1344","Cobb","30"
"498","Atlanta","GA","Garage Door","CPL","74","74","67","5298788","1425","Fulton","29.87"
"499","Fairfield","AL","Garage Door","CPL","74","74","1","9728","1098","Jefferson","29.79"
"500","Forestdale","AL","Garage Door","CPL","74","74","1","9742","524","Jefferson","29.77"
"501","Asheboro","NC","Garage Door","CPL","74","74","2","27580","541","Randolph","29.76"
"502","Mooresville","IN","Garage Door","CPL","74","74","1","9751","553","Morgan","29.76"
"503","Union City","GA","Garage Door","CPL","74","74","2","27728","536","Fulton","29.69"
"504","Homewood","AL","Garage Door","CPL","74","74","2","27829","1294","Jefferson","29.65"
"505","Kernersville","NC","Garage Door","CPL","74","74","2","27830","554","Forsyth","29.65"
"506","Greencastle","IN","Garage Door","CPL","74","74","1","9864","731","Putnam","29.62"
"507","Leander","TX","Garage Door","CPL","85.5","80.5","3","74067","675","Williamson","29.54"
"508","Fairview","TN","Garage Door","CPL","74","74","1","10009","209","Williamson","29.45"
"509","Round Rock","TX","Garage Door","CPL","78","78","5","127786","1258","Williamson","29.44"
"510","Blue Springs","MO","Garage Door","CPL","78","78","3","59965","1007","Jackson","29.32"
"511","Hyattsville","MD","Garage Door","CPL","37.5","37.5","5","20966","2977","Prince George's","29.16"
"512","Rainbow City","AL","Garage Door","CPL","74","74","1","10284","154","Etowah","29.13"
"513","Mccordsville","IN","Garage Door","CPL","74","74","1","10329","447","Hancock","29.08"
"514","Murfreesboro","TN","Garage Door","CPL","74","74","7","194551","943","Rutherford","28.89"
"515","Vienna","VA","Garage Door","CPL","38.5","38.5","4","16412","1435","Fairfax","28.88"
"516","Scottdale","GA","Garage Door","CPL","74","74","1","10542","1207","DeKalb","28.84"
"517","Alexandria","KY","Garage Door","CPL","74","74","1","10562","582","Campbell","28.82"
"518","Cecil","AL","Garage Door","CPL","74","74","1","10574","115","Montgomery","28.81"
"519","Pike Road","AL","Garage Door","CPL","74","74","1","10574","115","Montgomery","28.81"
"520","Saks","AL","Garage Door","CPL","74","74","1","10681","340","Calhoun","28.69"
"521","North Richland Hills","TX","Garage Door","CPL","81.5","81.5","3","70780","1495","Tarrant","28.67"
"522","Kennesaw","GA","Garage Door","CPL","78","78","2","34605","1330","Cobb","28.65"
"523","Bargersville","IN","Garage Door","CPL","74","74","1","10752","210","Johnson","28.62"
"524","Grand Prairie","TX","Garage Door","CPL","81.5","75.25","6","201883","1059","Dallas","28.58"
"525","Lansing","KS","Garage Door","CPL","75","75","1","11246","353","Leavenworth","28.49"
"526","Garland","TX","Garage Door","CPL","74","74","8","246844","1666","Dallas","28.45"
"527","Chamblee","GA","Garage Door","CPL","74","74","2","30895","1524","DeKalb","28.44"
"528","Golf","IL","Garage Door","CPL","41","41","1","518","472","Cook","28.42"
"529","Mcdonough","GA","Garage Door","CPL","74","74","2","30947","867","Henry","28.42"
"530","Kenilworth","IL","Garage Door","CPL","41","41","1","2503","1616","Cook","28.41"
"531","Hurst","TX","Garage Door","CPL","81.5","81.5","2","39861","1547","Tarrant","28.29"
"532","Azle","TX","Garage Door","CPL","81.5","81.5","1","14126","602","Tarrant","28.26"
"533","Doraville","GA","Garage Door","CPL","74","74","1","11134","829","DeKalb","28.22"
"534","Fairfax","VA","Garage Door","CPL","38.5","38.5","5","25026","1514","Fairfax","27.89"
"535","Lovejoy","GA","Garage Door","CPL","74","74","1","11508","1457","Clayton","27.85"
"536","Denton","TX","Garage Door","CPL","81.5","81.5","10","464461","585","Denton","27.82"
"537","Hartsville","TN","Garage Door","CPL","75","75","1","11957","40","Trousdale","27.8"
"538","Franklin","OH","Garage Door","CPL","74","74","1","11712","478","Warren","27.66"
"539","Flower Mound","TX","Garage Door","CPL","81.5","81.5","3","78389","717","Denton","27.53"
"540","Wells Branch","TX","Garage Door","CPL","78","78","1","13523","2249","Travis","27.52"
"541","Martinsville","IN","Garage Door","CPL","74","74","1","11933","502","Morgan","27.45"
"542","Alabaster","AL","Garage Door","CPL","74","74","2","33917","495","Shelby","27.4"
"543","Leeds","AL","Garage Door","CPL","74","74","1","12028","207","Jefferson","27.36"
"544","Hamilton","OH","Garage Door","CPL","74","74","3","63468","1135","Butler","27.19"
"545","Blue Bell","PA","Garage Door","CPL","37.5","37.5","2","6424","462","Montgomery","27.01"
"546","Whitestown","IN","Garage Door","CPL","74","74","1","12466","275","Boone","26.97"
"547","Rowlett","TX","Garage Door","CPL","74","74","3","65463","1194","Dallas","26.86"
"548","Canton","GA","Garage Door","CPL","74","74","2","35741","718","Cherokee","26.83"
"549","Ottawa","KS","Garage Door","CPL","74","74","1","12678","473","Franklin","26.79"
"550","Keller","TX","Garage Door","CPL","81.5","81.5","2","45976","959","Tarrant","26.72"
"551","Adamstown","MD","Garage Door","CPL","38.5","38.5","1","2025","864","Frederick","26.69"
"552","Aldie","VA","Garage Door","CPL","38.5","38.5","1","163","54","Loudoun","26.69"
"553","Allentown","NJ","Garage Door","CPL","38.5","38.5","1","1702","1247","Monmouth","26.69"
"554","Barnesville","MD","Garage Door","CPL","38.5","38.5","1","208","164","Montgomery","26.69"
"555","Bluemont","VA","Garage Door","CPL","38.5","38.5","1","592","147","Clarke","26.69"
"556","Bordentown","NJ","Garage Door","CPL","38.5","38.5","1","649","864","Burlington","26.69"
"557","Brookeville","MD","Garage Door","CPL","38.5","38.5","1","161","657","Montgomery","26.69"
"558","Buckeystown","MD","Garage Door","CPL","38.5","38.5","1","1192","557","Frederick","26.69"
"559","Burkittsville","MD","Garage Door","CPL","38.5","38.5","1","135","122","Frederick","26.69"
"560","Cabin John","MD","Garage Door","CPL","38.5","38.5","1","2179","663","Montgomery","26.69"
"561","Chesterfield","NJ","Garage Door","CPL","38.5","38.5","1","900","209","Burlington","26.69"
"562","Clarksboro","NJ","Garage Door","CPL","38.5","38.5","1","1155","755","Gloucester","26.69"
"563","Clifton","VA","Garage Door","CPL","38.5","38.5","1","312","409","Fairfax","26.69"
"564","Columbus","NJ","Garage Door","CPL","38.5","38.5","1","313","67","Burlington","26.69"
"565","Crownsville","MD","Garage Door","CPL","38.5","38.5","1","1756","129","Anne Arundel","26.69"
"566","Derwood","MD","Garage Door","CPL","38.5","38.5","1","1984","1128","Montgomery","26.69"
"567","Galesville","MD","Garage Door","CPL","38.5","38.5","1","1062","353","Anne Arundel","26.69"
"568","Garrett Park","MD","Garage Door","CPL","38.5","38.5","1","932","1926","Montgomery","26.69"
"569","Gibbsboro","NJ","Garage Door","CPL","38.5","38.5","1","2435","419","Camden","26.69"
"570","Glen Echo","MD","Garage Door","CPL","38.5","38.5","1","276","1659","Montgomery","26.69"
"571","Hamilton","VA","Garage Door","CPL","38.5","38.5","1","589","1042","Loudoun","26.69"
"572","Haymarket","VA","Garage Door","CPL","38.5","38.5","1","1580","1070","Prince William","26.69"
"573","Highland","MD","Garage Door","CPL","38.5","38.5","1","972","126","Howard","26.69"
"574","Hopewell","NJ","Garage Door","CPL","38.5","38.5","1","1823","975","Mercer","26.69"
"575","Jobstown","NJ","Garage Door","CPL","38.5","38.5","1","286","30","Burlington","26.69"
"576","Juliustown","NJ","Garage Door","CPL","38.5","38.5","1","313","67","Burlington","26.69"
"577","Kensington","MD","Garage Door","CPL","38.5","38.5","1","2369","1727","Montgomery","26.69"
"578","Libertytown","MD","Garage Door","CPL","38.5","38.5","1","1346","219","Frederick","26.69"
"579","Lisbon","MD","Garage Door","CPL","38.5","38.5","1","126","37","Howard","26.69"
"580","Mickleton","NJ","Garage Door","CPL","38.5","38.5","1","1786","328","Gloucester","26.69"
"581","Mount Royal","NJ","Garage Door","CPL","38.5","38.5","1","1155","755","Gloucester","26.69"
"582","Myersville","MD","Garage Door","CPL","38.5","38.5","1","2358","820","Frederick","26.69"
"583","New Market","MD","Garage Door","CPL","38.5","38.5","1","1603","346","Frederick","26.69"
"584","New Windsor","MD","Garage Door","CPL","38.5","38.5","1","1400","700","Carroll","26.69"
"585","Nokesville","VA","Garage Door","CPL","38.5","38.5","1","1226","48","Prince William","26.69"
"586","Occoquan","VA","Garage Door","CPL","38.5","38.5","1","910","2885","Prince William","26.69"
"587","Point Of Rocks","MD","Garage Door","CPL","38.5","38.5","1","2462","804","Frederick","26.69"
"588","Princeton Junction","NJ","Garage Door","CPL","38.5","38.5","1","2025","390","Mercer","26.69"
"589","Rectortown","VA","Garage Door","CPL","38.5","38.5","1","45","27","Fauquier","26.69"
"590","Round Hill","VA","Garage Door","CPL","38.5","38.5","1","678","588","Loudoun","26.69"
"591","Spencerville","MD","Garage Door","CPL","38.5","38.5","1","1028","354","Montgomery","26.69"
"592","Thorofare","NJ","Garage Door","CPL","38.5","38.5","1","2348","279","Gloucester","26.69"
"593","Union Bridge","MD","Garage Door","CPL","38.5","38.5","1","1055","320","Carroll","26.69"
"594","Upperville","VA","Garage Door","CPL","38.5","38.5","1","61","41","Fauquier","26.69"
"595","Vincentown","NJ","Garage Door","CPL","38.5","38.5","1","531","349","Burlington","26.69"
"596","Washington Grove","MD","Garage Door","CPL","38.5","38.5","1","577","985","Montgomery","26.69"
"597","Waterford","VA","Garage Door","CPL","38.5","38.5","1","220","389","Loudoun","26.69"
"598","Wenonah","NJ","Garage Door","CPL","38.5","38.5","1","2261","872","Gloucester","26.69"
"599","West Berlin","NJ","Garage Door","CPL","38.5","38.5","1","2285","836","Camden","26.69"
"600","Windsor","NJ","Garage Door","CPL","38.5","38.5","1","325","128","Mercer","26.69"
"601","Woodbine","MD","Garage Door","CPL","38.5","38.5","1","126","37","Howard","26.69"
"602","Amelia","OH","Garage Door","CPL","74","74","1","12871","871","Clermont","26.63"
"603","Beverly","NJ","Garage Door","CPL","38.5","38.5","1","2514","1776","Burlington","26.63"
"604","Lewisville","TX","Garage Door","CPL","81.5","81.5","4","131080","1219","Denton","26.63"
"605","Manor","TX","Garage Door","CPL","85.5","85.5","1","18603","666","Travis","26.55"
"606","Coronado","CA","Garage Door","CPL","86","86","1","19015","918","San Diego","26.48"
"607","Harrison","OH","Garage Door","CPL","74","74","1","13084","973","Hamilton","26.46"
